set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
75996-1,Aquaman and Storm,/sets/75996-1/Aquaman-and-Storm,Licensed,DC Comics Super Heroes,Promotional,2018,197,1,/inventories/75996-1,/minifigs/inset-75996-1,,"New: $118, Used: Not known",,,"Aquaman, Atlantis, Brick Built Animals, Crab, Octopus, SDCC, Seahorse",Normal,Box,
75997-1,Ant-Man and the Wasp,/sets/75997-1/Ant-Man-and-the-Wasp,Licensed,Marvel Super Heroes,Promotional,2018,218,1,/inventories/75997-1,/minifigs/inset-75997-1,,"New: $160, Used: Not known",,,"Wasp, Ant Man And The Wasp, Avengers, Brick Built Figure, Marvel Cinematic Universe, SDCC",Normal,Box,
76089-1,Mighty Micros: Scarlet Spider vs. Sandman,/sets/76089-1/Mighty-Micros-Scarlet-Spider-vs-Sandman,Licensed,Marvel Super Heroes,Mighty Micros,2018,89,2,/inventories/76089-1,/minifigs/inset-76089-1,"£8.99, $9.99, 9.99€","New: $8, Used: Not known",,,"Sandman, Scarlet Spider, Aircraft, Construction, Dump Truck, Jet Aircraft, Web Warriors",Normal,Box,
76090-1,Mighty Micros: Star-Lord vs. Nebula,/sets/76090-1/Mighty-Micros-Star-Lord-vs-Nebula,Licensed,Marvel Super Heroes,Mighty Micros,2018,86,2,/inventories/76090-1,/minifigs/inset-76090-1,"£8.99, $9.99, 9.99€","New: $7, Used: $6",,,"Nebula, Star-Lord, Guardians Of The Galaxy, Musical, Spaceship",Normal,Box,
76091-1,Mighty Micros: Thor vs. Loki,/sets/76091-1/Mighty-Micros-Thor-vs-Loki,Licensed,Marvel Super Heroes,Mighty Micros,2018,79,2,/inventories/76091-1,/minifigs/inset-76091-1,"£8.99, $9.99, 9.99€","New: $8, Used: $5",4.0,1review,"Loki, Thor, Avengers",Normal,Box,
76092-1,Mighty Micros: Batman vs. Harley Quinn,/sets/76092-1/Mighty-Micros-Batman-vs-Harley-Quinn,Licensed,DC Comics Super Heroes,Mighty Micros,2018,86,2,/inventories/76092-1,/minifigs/inset-76092-1,"£8.99, $9.99, 9.99€","New: $8, Used: Not known",,,"Batman, Harley Quinn, Car, Rogues Gallery",Normal,Box,
76093-1,Mighty Micros: Nightwing vs. The Joker,/sets/76093-1/Mighty-Micros-Nightwing-vs-The-Joker,Licensed,DC Comics Super Heroes,Mighty Micros,2018,84,2,/inventories/76093-1,/minifigs/inset-76093-1,"£8.99, $9.99, 9.99€","New: $7, Used: Not known",,,"Nightwing, The Joker, Car, Frozen Treats, Rogues Gallery, Street Vendor, Truck",Normal,Box,
76094-1,Mighty Micros: Supergirl vs. Brainiac,/sets/76094-1/Mighty-Micros-Supergirl-vs-Brainiac,Licensed,DC Comics Super Heroes,Mighty Micros,2018,80,2,/inventories/76094-1,/minifigs/inset-76094-1,"£8.99, $9.99, 9.99€","New: $8, Used: Not known",,,"Brainiac, Supergirl, Car, Justice League, Spaceship",Normal,Box,
76095-1,Black Manta Strike ,/sets/76095-1/Black-Manta-Strike,Licensed,DC Comics Super Heroes,DC Extended Universe,2018,235,3,/inventories/76095-1,/minifigs/inset-76095-1,"£29.99, $29.99, 34.99€","New: $35, Used: $21",4.7,3,"Aquaman, Black Manta, Mera, Atlantis, Power Blast, Shark, Submarine",Normal,Box,
76096-1,Superman & Krypto Team-Up,/sets/76096-1/Superman-Krypto-Team-Up,Licensed,DC Comics Super Heroes,Justice League,2018,199,2,/inventories/76096-1,/minifigs/inset-76096-1,"£19.99, $19.99, 24.99€","New: $17, Used: Not known",4.0,2,"Lobo, Superman, Dog, Justice League, Krypto, Kryptonite",Normal,Box,
76097-1,Lex Luthor Mech Takedown,/sets/76097-1/Lex-Luthor-Mech-Takedown,Licensed,DC Comics Super Heroes,Justice League,2018,406,5,/inventories/76097-1,/minifigs/inset-76097-1,"£34.99, $39.99, 39.99€","New: $30, Used: Not known",5.0,2,"Batman, Cheetah, Firestorm, Lex Luthor, Wonder Woman, Glider, Justice League, Lexcorp, Mech",Normal,Box,
76098-1,Speed Force Freeze Pursuit,/sets/76098-1/Speed-Force-Freeze-Pursuit,Licensed,DC Comics Super Heroes,Justice League,2018,271,4,/inventories/76098-1,/minifigs/inset-76098-1,"£29.99, $29.99, 34.99€","New: $31, Used: Not known",4.0,2,"Cyborg, Killer Frost, Reverse Flash, The Flash, Aircraft, Car, Helicopter, Ice, Justice League, Propeller Aircraft",Normal,Box,
76099-1,Rhino Face-Off by the Mine,/sets/76099-1/Rhino-Face-Off-by-the-Mine,Licensed,Marvel Super Heroes,Black Panther,2018,229,3,/inventories/76099-1,/minifigs/inset-76099-1,"£19.99, $19.99, 24.99€","New: $18, Used: $11",3.7,3,"Black Panther, Killmonger, Okoye, Brick Built Animals, Marvel Cinematic Universe, Mining, Rhinoceros, Wakanda",Normal,Box,
76100-1,Royal Talon Fighter Attack,/sets/76100-1/Royal-Talon-Fighter-Attack,Licensed,Marvel Super Heroes,Black Panther,2018,358,4,/inventories/76100-1,/minifigs/inset-76100-1,"£29.99, $29.99, 34.99€","New: $26, Used: $15",5.0,3,"Black Panther, Killmonger, Nakia, Ulysses Klaue, Aircraft, Marvel Cinematic Universe, Wakanda",Normal,Box,
76101-1,Outrider Dropship Attack,/sets/76101-1/Outrider-Dropship-Attack,Licensed,Marvel Super Heroes,Avengers: Infinity War,2018,124,4,/inventories/76101-1,/minifigs/inset-76101-1,"£11.99, $14.99, 14.99€","New: $12, Used: $5",4.6,10,"Black Widow, Captain America, Outrider, Aircraft, Avengers, Infinity Stone, Marvel Cinematic Universe, Outriders, Space Stone, Wakanda",Normal,Box,
