set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,price_store,price_new,price_used,rating_value,rating_votes
60124-1,Volcano Exploration Base,Modern day,City,Volcano Explorers,2016.0,824.0,6.0,119.99,84.0,56.0,3.5,2.0
60125-1,Volcano Heavy-Lift Helicopter,Modern day,City,Volcano Explorers,2016.0,1277.0,8.0,149.99,114.0,98.0,4.5,2.0
60126-1,Tire Escape,Modern day,City,Prison Island,2016.0,47.0,2.0,6.99,6.0,3.0,,
60127-1,Prison Island Starter Set,Modern day,City,Prison Island,2016.0,92.0,4.0,9.99,9.0,6.0,4.3,3.0
60128-1,Police Pursuit,Modern day,City,Prison Island,2016.0,184.0,2.0,24.99,22.0,16.0,4.0,2.0
60129-1,Police Patrol Boat,Modern day,City,Prison Island,2016.0,200.0,4.0,49.99,49.0,25.0,4.0,1.0
60130-1,Prison Island,Modern day,City,Prison Island,2016.0,754.0,8.0,89.99,110.0,88.0,4.5,2.0
60131-1,Crooks Island,Modern day,City,Prison Island,2016.0,244.0,3.0,29.99,24.0,16.0,5.0,1.0
60132-1,Service Station,Modern day,City,Traffic,2016.0,515.0,4.0,89.99,71.0,60.0,4.0,5.0
60133-1,City Advent Calendar,Modern day,City,Seasonal,2016.0,290.0,7.0,29.99,25.0,19.0,3.0,2.0
60134-1,People Pack - Fun in the Park,Modern day,City,Town,2016.0,157.0,15.0,39.99,33.0,20.0,5.0,4.0
70310-1,Knighton Battle Blaster,Action/Adventure,Nexo Knights,Season 1,2016.0,76.0,2.0,9.99,7.0,6.0,4.0,5.0
70311-1,Chaos Catapult,Action/Adventure,Nexo Knights,Season 1,2016.0,93.0,2.0,9.99,9.0,6.0,4.3,6.0
70312-1,Lance's Mecha Horse,Action/Adventure,Nexo Knights,Season 1,2016.0,237.0,3.0,19.99,18.0,10.0,4.3,3.0
70313-1,Moltor's Lava Smasher,Action/Adventure,Nexo Knights,Season 1,2016.0,187.0,2.0,19.99,18.0,11.0,5.0,2.0
70314-1,Beast Master's Chaos Chariot,Action/Adventure,Nexo Knights,Season 1,2016.0,314.0,2.0,29.99,25.0,17.0,4.3,3.0
70315-1,Clay's Rumble Blade,Action/Adventure,Nexo Knights,Season 1,2016.0,367.0,5.0,39.99,47.0,42.0,5.0,2.0
70316-1,Jestro's Evil Mobile,Action/Adventure,Nexo Knights,Season 1,2016.0,658.0,2.0,59.99,47.0,37.0,3.5,2.0
70317-1,The Fortrex,Action/Adventure,Nexo Knights,Season 1,2016.0,1140.0,7.0,99.99,96.0,61.0,5.0,2.0
70318-1,The Glob Lobber,Action/Adventure,Nexo Knights,Season 2,2016.0,95.0,2.0,9.99,8.0,5.0,5.0,1.0
70319-1,Macy's Thunder Mace,Action/Adventure,Nexo Knights,Season 2,2016.0,202.0,3.0,19.99,16.0,13.0,4.0,2.0
70320-1,Aaron Fox's Aero-Striker V2,Action/Adventure,Nexo Knights,Season 2,2016.0,301.0,3.0,29.99,22.0,15.0,,
70321-1,General Magmar's Siege Machine of Doom,Action/Adventure,Nexo Knights,Season 2,2016.0,516.0,3.0,49.99,44.0,28.0,4.0,1.0
70322-1,Axl's Tower Carrier,Action/Adventure,Nexo Knights,Season 2,2016.0,670.0,4.0,69.99,51.0,39.0,4.0,1.0
70323-1,Jestro's Volcano Lair,Action/Adventure,Nexo Knights,Season 2,2016.0,1186.0,10.0,119.99,107.0,67.0,4.0,1.0
70324-1,Merlok's Library 2.0,Action/Adventure,Nexo Knights,Season 1,2016.0,288.0,3.0,24.99,22.0,22.0,3.7,3.0
