set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,tags,set_type,packaging
2142-1,Breez 2.0,/sets/2142-1/Breez-2-0,Constraction,HERO Factory,,2011.0,29.0,0.0,/inventories/2142-1,,7.99,20.0,5.0,4.3,4.0,"Ccbs, Female, HERO Factory Hero, Natalie Breez, Ordeal Of Fire",Normal,
2143-1,Rocka 3.0,/sets/2143-1/Rocka-3-0,Constraction,HERO Factory,,2011.0,30.0,0.0,/inventories/2143-1,,7.99,39.0,6.0,4.8,4.0,"Ccbs, HERO Factory Hero, Rocka, Savage Planet",Normal,
2144-1,Nex 3.0,/sets/2144-1/Nex-3-0,Constraction,HERO Factory,,2011.0,29.0,0.0,/inventories/2144-1,,7.99,28.0,7.0,4.5,2.0,"Ccbs, HERO Factory Hero, Julius Nex, Savage Planet",Normal,
2145-1,Stormer 3.0,/sets/2145-1/Stormer-3-0,Constraction,HERO Factory,,2011.0,31.0,0.0,/inventories/2145-1,,7.99,30.0,8.0,4.8,6.0,"Ccbs, HERO Factory Hero, Preston Stormer, Savage Planet",Normal,
2170-1,Cole DX,/sets/2170-1/Cole-DX,Action/Adventure,Ninjago,Spinners,2011.0,21.0,1.0,/inventories/2170-1,/minifigs/inset-2170-1,9.99,14.0,5.0,5.0,3.0,"Cole, 1St Wave, Earth, Ninjago Ninjas",Normal,
2171-1,Zane DX,/sets/2171-1/Zane-DX,Action/Adventure,Ninjago,Spinners,2011.0,22.0,1.0,/inventories/2171-1,/minifigs/inset-2171-1,9.99,14.0,7.0,4.7,3.0,"Zane, 1St Wave, Ice, Ninjago Ninjas",Normal,Blister pack
2172-1,Nya,/sets/2172-1/Nya,Action/Adventure,Ninjago,Spinners,2011.0,21.0,1.0,/inventories/2172-1,/minifigs/inset-2172-1,9.99,13.0,5.0,4.5,6.0,"Nya, 1St Wave, Ninjago Ninjas",Normal,
2173-1,Nuckal,/sets/2173-1/Nuckal,Action/Adventure,Ninjago,Spinners,2011.0,26.0,1.0,/inventories/2173-1,/minifigs/inset-2173-1,9.99,11.0,8.0,4.7,6.0,"Nuckal, 1St Wave, Skulkin",Normal,
2174-1,Kruncha,/sets/2174-1/Kruncha,Action/Adventure,Ninjago,Spinners,2011.0,24.0,1.0,/inventories/2174-1,/minifigs/inset-2174-1,9.99,8.0,5.0,4.0,1.0,"Kruncha, 2nd Wave, Skulkin",Normal,Blister pack
2175-1,Wyplash,/sets/2175-1/Wyplash,Action/Adventure,Ninjago,Spinners,2011.0,23.0,1.0,/inventories/2175-1,/minifigs/inset-2175-1,9.99,5.0,4.0,4.3,3.0,"Wyplash, 2nd Wave, Skulkin",Normal,
2182-1,Bulk 3.0,/sets/2182-1/Bulk-3-0,Constraction,HERO Factory,,2011.0,30.0,0.0,/inventories/2182-1,,7.99,42.0,12.0,4.6,5.0,"Ccbs, Dunkan Bulk, HERO Factory Hero, Savage Planet",Normal,
2183-1,Stringer 3.0,/sets/2183-1/Stringer-3-0,Constraction,HERO Factory,,2011.0,30.0,0.0,/inventories/2183-1,,7.99,10.0,9.0,4.5,2.0,"Ccbs, HERO Factory Hero, Jimi Stringer, Savage Planet",Normal,
2191-1,Furno 3.0,/sets/2191-1/Furno-3-0,Constraction,HERO Factory,,2011.0,28.0,0.0,/inventories/2191-1,,7.99,31.0,7.0,4.4,7.0,"Ccbs, HERO Factory Hero, Savage Planet, William Furno",Normal,
2192-1,Drilldozer,/sets/2192-1/Drilldozer,Constraction,HERO Factory,,2011.0,61.0,0.0,/inventories/2192-1,,12.99,34.0,6.0,3.8,4.0,"Ccbs, Drill, HERO Factory Villain, Ordeal Of Fire",Normal,
2193-1,Jetbug,/sets/2193-1/Jetbug,Constraction,HERO Factory,,2011.0,63.0,0.0,/inventories/2193-1,,12.99,22.0,6.0,4.0,4.0,"Ccbs, HERO Factory Villain, Ordeal Of Fire",Normal,
2194-1,Nitroblast,/sets/2194-1/Nitroblast,Constraction,HERO Factory,,2011.0,57.0,0.0,/inventories/2194-1,,12.99,40.0,9.0,3.4,5.0,"Ccbs, HERO Factory Villain, Ordeal Of Fire",Normal,
2231-1,Waspix,/sets/2231-1/Waspix,Constraction,HERO Factory,,2011.0,48.0,0.0,/inventories/2231-1,,12.99,21.0,12.0,4.8,4.0,"Ccbs, HERO Factory Villain, Savage Planet",Normal,
2232-1,Raw-Jaw,/sets/2232-1/Raw-Jaw,Constraction,HERO Factory,,2011.0,52.0,0.0,/inventories/2232-1,,12.99,26.0,12.0,5.0,2.0,"Ccbs, HERO Factory Villain, Savage Planet",Normal,
2233-1,Fangz,/sets/2233-1/Fangz,Constraction,HERO Factory,,2011.0,55.0,0.0,/inventories/2233-1,,12.99,30.0,15.0,5.0,3.0,"Ccbs, HERO Factory Villain, Savage Planet",Normal,
2235-1,Fire Lord,/sets/2235-1/Fire-Lord,Constraction,HERO Factory,,2011.0,125.0,0.0,/inventories/2235-1,,19.99,35.0,16.0,4.3,4.0,"Ccbs, HERO Factory Villain, Ordeal Of Fire, Titan",Normal,
2236-1,Scorpio,/sets/2236-1/Scorpio,Constraction,HERO Factory,,2011.0,104.0,0.0,/inventories/2236-1,,24.99,40.0,21.0,5.0,1.0,"Ccbs, HERO Factory Villain, Savage Planet, Scorpion",Normal,
2254-1,Mountain Shrine,/sets/2254-1/Mountain-Shrine,Action/Adventure,Ninjago,Spinners,2011.0,169.0,2.0,/inventories/2254-1,/minifigs/inset-2254-1,19.99,54.0,14.0,4.6,10.0,"Kai, 2nd Wave, Ninjago Ninjas, Shrine",Normal,Box
2255-1,Sensei Wu,/sets/2255-1/Sensei-Wu,Action/Adventure,Ninjago,Spinners,2011.0,20.0,1.0,/inventories/2255-1,/minifigs/inset-2255-1,9.99,17.0,12.0,4.8,4.0,"Wu, 2nd Wave, Ninjago Ninjas",Normal,
2256-1,Lord Garmadon,/sets/2256-1/Lord-Garmadon,Action/Adventure,Ninjago,Spinners,2011.0,23.0,1.0,/inventories/2256-1,/minifigs/inset-2256-1,9.99,10.0,4.0,4.0,5.0,"Garmadon, 2nd Wave",Normal,
2257-1,Spinjitzu Starter Set,/sets/2257-1/Spinjitzu-Starter-Set,Action/Adventure,Ninjago,Spinners,2011.0,57.0,2.0,/inventories/2257-1,/minifigs/inset-2257-1,19.99,20.0,7.0,3.6,8.0,"Frakjaw, Jay Walker, 1St Wave, Lightning, Ninjago Ninjas, Skulkin",Normal,
2258-1,Ninja Ambush,/sets/2258-1/Ninja-Ambush,Action/Adventure,Ninjago,Pilot Season,2011.0,71.0,2.0,/inventories/2258-1,/minifigs/inset-2258-1,6.99,17.0,5.0,4.4,23.0,"Bonezai, Kai, 1St Wave, Ninjago Ninjas, Shrine",Normal,Box
2259-1,Skull Motorbike,/sets/2259-1/Skull-Motorbike,Action/Adventure,Ninjago,Pilot Season,2011.0,157.0,2.0,/inventories/2259-1,/minifigs/inset-2259-1,14.99,34.0,12.0,4.1,8.0,"Chopov, Jay Walker, 1St Wave, Motorcycle, Skulkin",Normal,Box
2260-1,Ice Dragon Attack,/sets/2260-1/Ice-Dragon-Attack,Action/Adventure,Ninjago,Pilot Season,2011.0,158.0,2.0,/inventories/2260-1,/minifigs/inset-2260-1,19.99,96.0,23.0,4.4,17.0,"Krazi, Zane, 1St Wave, Dragon, Ice, Ninjago Ninjas, Shard",Normal,Box
2263-1,Turbo Shredder,/sets/2263-1/Turbo-Shredder,Action/Adventure,Ninjago,Pilot Season,2011.0,298.0,3.0,/inventories/2263-1,/minifigs/inset-2263-1,29.99,39.0,17.0,4.4,7.0,"Cole, Frakjaw, Jay Walker, 1St Wave, Skulkin, Tracked Vehicle",Normal,Box
2282-1,Rocka XL,/sets/2282-1/Rocka-XL,Constraction,HERO Factory,,2011.0,174.0,0.0,/inventories/2282-1,,24.99,50.0,37.0,4.3,4.0,"Ccbs, HERO Factory Hero, Hero Factory Xl, Rocka, Savage Planet, Titan",Normal,
2283-1,Witch Doctor,/sets/2283-1/Witch-Doctor,Constraction,HERO Factory,,2011.0,331.0,0.0,/inventories/2283-1,,29.99,158.0,37.0,4.9,12.0,"Ccbs, HERO Factory Villain, Savage Planet, Spooky, Titan",Normal,
2504-1,Spinjitzu Dojo,/sets/2504-1/Spinjitzu-Dojo,Action/Adventure,Ninjago,Spinners,2011.0,373.0,3.0,/inventories/2504-1,/minifigs/inset-2504-1,49.99,89.0,27.0,4.4,10.0,"Nuckal, Wu, Zane, Arena, Dojo, Ninja Base, Ninjago Ninjas, Temple",Normal,Box
2505-1,Garmadon's Dark Fortress,/sets/2505-1/Garmadon-s-Dark-Fortress,Action/Adventure,Ninjago,Pilot Season,2011.0,518.0,6.0,/inventories/2505-1,/minifigs/inset-2505-1,69.99,148.0,64.0,4.0,5.0,"Bonezai, Chopov, Garmadon, Kai, Nya, Samukai, 1St Wave, Brick Built Animals, Castle, Evil Lair, Skulkin, Spider, Spooky",Normal,Box
2506-1,Skull Truck,/sets/2506-1/Skull-Truck,Action/Adventure,Ninjago,Pilot Season,2011.0,515.0,4.0,/inventories/2506-1,/minifigs/inset-2506-1,59.99,77.0,39.0,4.6,5.0,"Garmadon, Jay Walker, Wyplash, Zane, 2nd Wave, Skulkin, Truck",Normal,Box
2507-1,Fire Temple,/sets/2507-1/Fire-Temple,Action/Adventure,Ninjago,Pilot Season,2011.0,1174.0,7.0,/inventories/2507-1,/minifigs/inset-2507-1,119.99,187.0,102.0,5.0,6.0,"Garmadon, Kai, Kruncha, Nya, Samukai, Wu, Zane, 2nd Wave, Award Winning Product, Dragon, Fire, Flame, Ninjago Ninjas, Temple",Normal,Box
2508-1,Blacksmith Shop,/sets/2508-1/Blacksmith-Shop,Action/Adventure,Ninjago,Pilot Season,2011.0,189.0,2.0,/inventories/2508-1,/minifigs/inset-2508-1,19.99,60.0,21.0,4.0,5.0,"Kai, Kruncha, 2nd Wave, Blacksmith, Ninjago Ninjas",Normal,Box
2509-1,Earth Dragon Defense,/sets/2509-1/Earth-Dragon-Defense,Action/Adventure,Ninjago,Pilot Season,2011.0,227.0,2.0,/inventories/2509-1,/minifigs/inset-2509-1,34.99,132.0,53.0,4.9,7.0,"Cole, Wyplash, 2nd Wave, Dragon, Earth, Ninjago Ninjas, Rocky, Shrine",Normal,Box
2516-1,Ninja Training Outpost,/sets/2516-1/Ninja-Training-Outpost,Action/Adventure,Ninjago,Pilot Season,2011.0,45.0,1.0,/inventories/2516-1,/minifigs/inset-2516-1,4.99,15.0,4.0,4.2,21.0,"Cole, 1St Wave, Ninjago Ninjas, Shrine, Target Practice, Training",Normal,Box
2518-1,Nuckal's ATV,/sets/2518-1/Nuckal-s-ATV,Action/Adventure,Ninjago,Spinners,2011.0,174.0,2.0,/inventories/2518-1,/minifigs/inset-2518-1,24.99,31.0,15.0,2.0,2.0,"Kai, Nuckal, 1St Wave, Fire, Skulkin",Normal,Box
2519-1,Skeleton Bowling,/sets/2519-1/Skeleton-Bowling,Action/Adventure,Ninjago,Spinners,2011.0,371.0,7.0,/inventories/2519-1,/minifigs/inset-2519-1,29.99,44.0,22.0,4.3,3.0,"Jay Walker, 1St Wave, Arena, Dojo, Lightning, Ninjago Ninjas, Training",Normal,Box
2520-1,Ninjago Battle Arena,/sets/2520-1/Ninjago-Battle-Arena,Action/Adventure,Ninjago,Spinners,2011.0,463.0,2.0,/inventories/2520-1,/minifigs/inset-2520-1,49.99,35.0,10.0,4.0,3.0,"Bonezai, Cole, 1St Wave, Arena, Dojo, Earth, Ninjago Ninjas, Skulkin",Normal,Box
2521-1,Lightning Dragon Battle,/sets/2521-1/Lightning-Dragon-Battle,Action/Adventure,Ninjago,Spinners,2011.0,645.0,4.0,/inventories/2521-1,/minifigs/inset-2521-1,79.99,204.0,105.0,5.0,4.0,"Frakjaw, Jay Walker, Kruncha, Wu, 2nd Wave, Brick Built Animals, Dragon, Helicopter, Lightning, Ninjago Ninjas, Propeller Aircraft, Skulkin, Spinner, Wisp",Normal,Box
3365-1,Space Moon Buggy,/sets/3365-1/Space-Moon-Buggy,Modern day,City,Space,2011.0,37.0,1.0,/inventories/3365-1,/minifigs/inset-3365-1,4.99,8.0,4.0,4.1,12.0,"4X4, Ground Vehicle, Off Roader, Space",Normal,Box
3366-1,Satellite Launch Pad,/sets/3366-1/Satellite-Launch-Pad,Modern day,City,Space,2011.0,165.0,1.0,/inventories/3366-1,/minifigs/inset-3366-1,19.99,30.0,8.0,4.6,5.0,"Rocket, Satellite, Van",Normal,Box
3367-1,Space Shuttle,/sets/3367-1/Space-Shuttle,Modern day,City,Space,2011.0,231.0,1.0,/inventories/3367-1,/minifigs/inset-3367-1,29.99,49.0,17.0,4.2,10.0,"Satellite, Space, Space Shuttle",Normal,Box
3368-1,Space Centre,/sets/3368-1/Space-Centre,Modern day,City,Space,2011.0,494.0,4.0,/inventories/3368-1,/minifigs/inset-3368-1,69.99,135.0,51.0,4.6,5.0,"Octan, Road Baseplate, Rocket, Satellite, Space",Normal,Box
3648-1,Police Chase,/sets/3648-1/Police-Chase,Modern day,City,Police,2011.0,173.0,3.0,/inventories/3648-1,/minifigs/inset-3648-1,24.99,36.0,18.0,4.0,7.0,"Camera, Car, Convertible, Motor Tricycle, Police, Police Car, Traffic Light",Normal,Box
3658-1,Police Helicopter,/sets/3658-1/Police-Helicopter,Modern day,City,Police,2011.0,237.0,4.0,/inventories/3658-1,/minifigs/inset-3658-1,34.99,37.0,25.0,4.3,3.0,"Aircraft, Helicopter, Pickup Truck, Police, Police Helicopter",Normal,Box
3661-1,Bank & Money Transfer,/sets/3661-1/Bank-Money-Transfer,Modern day,City,Police,2011.0,405.0,4.0,/inventories/3661-1,/minifigs/inset-3661-1,49.99,64.0,42.0,4.8,21.0,"Atm, Bank, Baseplate, Motor Bike, Motorcycle, Police, Police Car, Safe, Van",Normal,Box
3677-1,Red Cargo Train,/sets/3677-1/Red-Cargo-Train,Modern day,City,Trains,2011.0,831.0,4.0,/inventories/3677-1,/minifigs/inset-3677-1,159.99,272.0,206.0,3.5,2.0,"Conveyor Belt, Crane, Diesel Locomotive, Electric, Electric Motor, Freight Train, Octan, Power Functions, Railway Maintenance, Remote Control, Service Vehicle, Special Edition, Track, Trackside Structure, Train Track, Truck",Normal,Box
3815-1,Heroic Heroes of the Deep,/sets/3815-1/Heroic-Heroes-of-the-Deep,Licensed,SpongeBob SquarePants,,2011.0,95.0,3.0,/inventories/3815-1,/minifigs/inset-3815-1,14.99,37.0,17.0,4.6,7.0,"Patrick Star, Plankton, Spongebob Squarepants, Boat, Car, Cartoon, Nickelodeon, Super Hero",Normal,Box
3816-1,Glove World,/sets/3816-1/Glove-World,Licensed,SpongeBob SquarePants,,2011.0,169.0,4.0,/inventories/3816-1,/minifigs/inset-3816-1,19.99,59.0,16.0,3.3,4.0,"Ice Cream Vendor, Patrick Star, Sandy Cheeks, Spongebob Squarepants, Cartoon, Fairground, Ferris Wheel, Frozen Treats, Nickelodeon",Normal,Box
3852-1,Sunblock,/sets/3852-1/Sunblock,Miscellaneous,Games,,2011.0,80.0,0.0,/inventories/3852-1,,9.99,,,4.0,1.0,"Beach, Crab",Normal,Box
3853-1,Banana Balance,/sets/3853-1/Banana-Balance,Miscellaneous,Games,,2011.0,49.0,0.0,/inventories/3853-1,,4.99,,,4.0,3.0,"Brick Built Tree, Monkey",Normal,Box
3854-1,Frog Rush,/sets/3854-1/Frog-Rush,Miscellaneous,Games,,2011.0,107.0,0.0,/inventories/3854-1,,14.99,,,4.5,2.0,"Bird, Brick Built Animals, Frog",Normal,Box
3855-1,Ramses Return,/sets/3855-1/Ramses-Return,Miscellaneous,Games,,2011.0,99.0,0.0,/inventories/3855-1,,7.49,,,3.5,2.0,Egypt,Normal,Box
3856-1,Ninjago: The Board Game,/sets/3856-1/Ninjago-The-Board-Game,Miscellaneous,Games,,2011.0,245.0,0.0,/inventories/3856-1,,24.99,,,3.0,1.0,"China, Maze, Ninjago Ninjas, Skulkin, Temple",Normal,Box
3857-1,Draida Bay,/sets/3857-1/Draida-Bay,Miscellaneous,Games,Heroica,2011.0,101.0,0.0,/inventories/3857-1,,14.99,,,3.8,4.0,,Normal,Box
3858-1,Waldurk Forest,/sets/3858-1/Waldurk-Forest,Miscellaneous,Games,Heroica,2011.0,225.0,7.0,/inventories/3858-1,/minifigs/inset-3858-1,19.99,,,4.5,2.0,"Brick Built Tree, Forest",Normal,Box
3859-1,Caverns of Nathuz,/sets/3859-1/Caverns-of-Nathuz,Miscellaneous,Games,Heroica,2011.0,217.0,7.0,/inventories/3859-1,/minifigs/inset-3859-1,19.99,,,4.0,1.0,"Bat, Cave",Normal,Box
3860-1,Castle Fortaan,/sets/3860-1/Castle-Fortaan,Miscellaneous,Games,Heroica,2011.0,304.0,15.0,/inventories/3860-1,/minifigs/inset-3860-1,29.99,,,4.5,2.0,,Normal,Box
3861-1,LEGO Champion,/sets/3861-1/LEGO-Champion,Miscellaneous,Games,,2011.0,216.0,0.0,/inventories/3861-1,,19.99,,,4.0,1.0,,Normal,Box
4181-1,Isla de la Muerta,/sets/4181-1/Isla-de-la-Muerta,Licensed,Pirates of the Caribbean,The Curse of the Black Pearl,2011.0,152.0,4.0,/inventories/4181-1,/minifigs/inset-4181-1,19.99,59.0,38.0,4.0,23.0,"Captain Jack Sparrow, Elizabeth Swann Turner, Hector Barbossa, Disney, Island, Modern Disney, On Stranger Tides, Rowing Boat, Shipwreck",Normal,Box
4182-1,The Cannibal Escape,/sets/4182-1/The-Cannibal-Escape,Licensed,Pirates of the Caribbean,Dead Man's Chest,2011.0,279.0,4.0,/inventories/4182-1,/minifigs/inset-4182-1,29.99,48.0,27.0,4.4,8.0,"Cannibal, Captain Jack Sparrow, Will Turner, Cage, Dead Man's Chest, Disney, Island, Modern Disney, Parrot, Snake, Throne",Normal,Box
4183-1,The Mill,/sets/4183-1/The-Mill,Licensed,Pirates of the Caribbean,Dead Man's Chest,2011.0,365.0,4.0,/inventories/4183-1,/minifigs/inset-4183-1,39.99,73.0,39.0,4.8,5.0,"Admiral Norrington, Captain Jack Sparrow, Hadras, Will Turner, Dead Man's Chest, Disney, Fish, Modern Disney",Normal,Box
4184-1,The Black Pearl,/sets/4184-1/The-Black-Pearl,Licensed,Pirates of the Caribbean,,2011.0,804.0,6.0,/inventories/4184-1,/minifigs/inset-4184-1,99.99,461.0,271.0,4.6,9.0,"Bootstrap Bill, Captain Jack Sparrow, Davy Jones, Joshamee Gibbs, Maccus, Will Turner, Disney, Galleon, Modern Disney, Pirates, Ship",Normal,Box
4191-1,Captain's Cabin,/sets/4191-1/Captain-s-Cabin,Licensed,Pirates of the Caribbean,On Stranger Tides,2011.0,95.0,3.0,/inventories/4191-1,/minifigs/inset-4191-1,11.99,26.0,15.0,4.3,21.0,"Captain Jack Sparrow, Gunner Zombie, Yeoman Zombie, Disney, Modern Disney, On Stranger Tides",Normal,Box
4192-1,Fountain of Youth,/sets/4192-1/Fountain-of-Youth,Licensed,Pirates of the Caribbean,On Stranger Tides,2011.0,128.0,4.0,/inventories/4192-1,/minifigs/inset-4192-1,19.99,55.0,26.0,3.6,18.0,"Blackbeard, Captain Jack Sparrow, Hector Barbossa, Cave, Disney, Fountain, Modern Disney, On Stranger Tides, Waterfall",Normal,Box
4193-1,The London Escape,/sets/4193-1/The-London-Escape,Licensed,Pirates of the Caribbean,On Stranger Tides,2011.0,462.0,5.0,/inventories/4193-1,/minifigs/inset-4193-1,49.99,78.0,44.0,4.0,8.0,"Captain Jack Sparrow, Coachman, Joshamee Gibbs, King George's Soldier, King George’s Officer, Carriage, Disney, House, London, Modern Disney, On Stranger Tides, Restaurant, Spider, United Kingdom",Normal,Box
4194-1,Whitecap Bay,/sets/4194-1/Whitecap-Bay,Licensed,Pirates of the Caribbean,On Stranger Tides,2011.0,745.0,6.0,/inventories/4194-1,/minifigs/inset-4194-1,79.99,102.0,76.0,4.7,10.0,"Captain Jack Sparrow, Gunner Zombie, Mermaid, Philip Swift, Scrum, Syrena, Castle, Disney, Light Brick, Lighthouse, Merpeople, Modern Disney, On Stranger Tides, Rowing Boat",Normal,Box
4195-1,Queen Anne's Revenge,/sets/4195-1/Queen-Anne-s-Revenge,Licensed,Pirates of the Caribbean,On Stranger Tides,2011.0,1094.0,9.0,/inventories/4195-1,/minifigs/inset-4195-1,119.99,418.0,222.0,4.6,11.0,"Angelica, Blackbeard, Captain Jack Sparrow, Cook, Gunner Zombie, Quartermaster Zombie, Yeoman Zombie, Disney, Galleon, Modern Disney, On Stranger Tides, Ship",Normal,Box
4641-1,Speedboat,/sets/4641-1/Speedboat,Modern day,City,Harbour,2011.0,34.0,1.0,/inventories/4641-1,/minifigs/inset-4641-1,4.99,9.0,3.0,3.9,9.0,"Boat, Speedboat",Normal,Box
4642-1,Fishing Boat,/sets/4642-1/Fishing-Boat,Modern day,City,Harbour,2011.0,64.0,2.0,/inventories/4642-1,/minifigs/inset-4642-1,19.99,33.0,12.0,3.8,4.0,"Boat, Fish, Fishing Boat, Floats On Water, Motor Yacht, Shark",Normal,Box
4643-1,Power Boat Transporter,/sets/4643-1/Power-Boat-Transporter,Modern day,City,Harbour,2011.0,254.0,2.0,/inventories/4643-1,/minifigs/inset-4643-1,39.99,35.0,15.0,4.3,3.0,"Articulated Lorry, Boat, Floats On Water, Speedboat, Trailer, Transport Vehicle, Truck",Normal,Box
4644-1,Marina,/sets/4644-1/Marina,Modern day,City,Harbour,2011.0,294.0,5.0,/inventories/4644-1,/minifigs/inset-4644-1,49.99,42.0,27.0,3.9,7.0,"Beach, Boat, Coffee Machine, Dinghy, Floats On Water, Quad Bike, Restaurant, Shop, Speedboat, Surfing",Normal,Box
4645-1,Harbour,/sets/4645-1/Harbour,Modern day,City,Harbour,2011.0,551.0,4.0,/inventories/4645-1,/minifigs/inset-4645-1,89.99,132.0,75.0,3.0,5.0,"Bedroom, Boat, Cargo Ship, Container Ship, Conveyor Belt, Crane, Fish, Floats On Water, Harbour, Lamppost, Octan, Rat, Road Baseplate, Transport Vehicle, Truck",Normal,Box
4865-1,The Forbidden Forest,/sets/4865-1/The-Forbidden-Forest,Licensed,Harry Potter,Deathly Hallows,2011.0,64.0,4.0,/inventories/4865-1,/minifigs/inset-4865-1,11.99,53.0,22.0,4.3,16.0,"Harry Potter, Narcissa Malfoy, Rubeus Hagrid, Voldemort, Brick Built Tree, Forest, Magic, Mushroom, Snake",Normal,Box
4866-1,The Knight Bus,/sets/4866-1/The-Knight-Bus,Licensed,Harry Potter,Prisoner of Azkaban,2011.0,257.0,3.0,/inventories/4866-1,/minifigs/inset-4866-1,34.99,98.0,72.0,4.4,10.0,"Ernie Prang, Harry Potter, Stan Shunpike, Bus, Hedwig, Owl",Normal,Box
4867-1,Hogwarts,/sets/4867-1/Hogwarts,Licensed,Harry Potter,Deathly Hallows,2011.0,466.0,7.0,/inventories/4867-1,/minifigs/inset-4867-1,49.99,188.0,63.0,4.5,11.0,"Dementor, Gregory Goyle, Harry Potter, Lucius Malfoy, Neville Longbottom, Professor Pomona Sprout, Professor Remus Lupin, Astronomy, Bedroom, Blackboard, Castle, Hogwarts, Magic, Mirror Of Erised, School, Snake",Normal,Box
5678-1,Policeman,/sets/5678-1/Policeman,Pre-school,Duplo,,2011.0,4.0,1.0,/inventories/5678-1,/minifigs/inset-5678-1,4.99,9.0,8.0,,,Police,Normal,
5679-1,Police Bike,/sets/5679-1/Police-Bike,Pre-school,Duplo,,2011.0,8.0,1.0,/inventories/5679-1,/minifigs/inset-5679-1,9.99,8.0,8.0,,,"Motorcycle, Police, Traffic Light",Normal,
5680-1,Police Truck,/sets/5680-1/Police-Truck,Pre-school,Duplo,,2011.0,14.0,2.0,/inventories/5680-1,/minifigs/inset-5680-1,,26.0,21.0,,,Police,Normal,
5681-1,Police Station,/sets/5681-1/Police-Station,Pre-school,Duplo,,2011.0,60.0,4.0,/inventories/5681-1,/minifigs/inset-5681-1,,48.0,44.0,,,"Aircraft, Helicopter, Motorcycle, Police, Police Helicopter, Police Station, Propeller Aircraft, Van",Normal,
5682-1,Fire Truck,/sets/5682-1/Fire-Truck,Pre-school,Duplo,,2011.0,21.0,1.0,/inventories/5682-1,/minifigs/inset-5682-1,,56.0,15.0,,,"Articulated Lorry, Fire, Fire Truck, Light And Sound System, Truck",Normal,
5683-1,Market Place,/sets/5683-1/Market-Place,Pre-school,Duplo,,2011.0,24.0,2.0,/inventories/5683-1,/minifigs/inset-5683-1,24.99,25.0,16.0,5.0,1.0,"Baked Goods, Fresh Produce, Street Vendor, Van",Normal,
5684-1,Car Transporter,/sets/5684-1/Car-Transporter,Pre-school,Duplo,,2011.0,15.0,1.0,/inventories/5684-1,/minifigs/inset-5684-1,,66.0,25.0,,,"Car, Transport Vehicle",Normal,
5685-1,Vet,/sets/5685-1/Vet,Pre-school,Duplo,,2011.0,4.0,1.0,/inventories/5685-1,/minifigs/inset-5685-1,4.99,4.0,3.0,4.0,1.0,"Rabbit, Veterinary",Normal,
5695-1,Doctor's Clinic,/sets/5695-1/Doctor-s-Clinic,Pre-school,Duplo,,2011.0,56.0,3.0,/inventories/5695-1,/minifigs/inset-5695-1,59.99,85.0,67.0,,,"Ambulance, Baby, Hospital, Light And Sound System, Medical, Wheelchair, X Ray",Normal,
5696-1,Car Wash,/sets/5696-1/Car-Wash,Pre-school,Duplo,,2011.0,14.0,1.0,/inventories/5696-1,/minifigs/inset-5696-1,24.99,55.0,30.0,,,"Car, Car Wash",Normal,
5748-1,Creative Building Kit,/sets/5748-1/Creative-Building-Kit,Pre-school,Duplo,,2011.0,86.0,0.0,/inventories/5748-1,,,,,,,Brick Built Tree,Normal,
5749-1,Creative Building Kit,/sets/5749-1/Creative-Building-Kit,Basic,Bricks and More,,2011.0,650.0,0.0,/inventories/5749-1,,,,5.0,,,"Brick Built Animals, Brick Built Figure, Brick Built Tree, Dog, Duck, House, Truck",Normal,Box
5761-1,Mini Digger,/sets/5761-1/Mini-Digger,Model making,Creator,,2011.0,56.0,0.0,/inventories/5761-1,,5.99,8.0,3.0,4.8,5.0,"Construction, Front Loader, Microscale, Multibuild, Off Roader, Tow Truck",Normal,Canister
5762-1,Mini Plane,/sets/5762-1/Mini-Plane,Model making,Creator,,2011.0,52.0,0.0,/inventories/5762-1,,5.99,11.0,3.0,4.4,7.0,"Aircraft, Microlight, Microscale, Multibuild, Propeller Aircraft, Speedboat, Sports Plane",Normal,Canister
5763-1,Dune Hopper,/sets/5763-1/Dune-Hopper,Model making,Creator,,2011.0,137.0,0.0,/inventories/5763-1,,12.99,10.0,5.0,4.5,6.0,"10 Wide Car, Car, Dune Buggy, Motor Trike, Multibuild, Quad Bike",Normal,Box
5764-1,Rescue Robot,/sets/5764-1/Rescue-Robot,Model making,Creator,,2011.0,149.0,0.0,/inventories/5764-1,,16.99,40.0,13.0,4.0,4.0,"Cat, Light Brick, Mech, Multibuild, Robot",Normal,Box
5765-1,Transport Truck,/sets/5765-1/Transport-Truck,Model making,Creator,,2011.0,276.0,0.0,/inventories/5765-1,,19.99,20.0,6.0,4.5,2.0,"Aircraft, Articulated Lorry, Car, Helicopter, Microscale, Multibuild, Off Roader, Propeller Aircraft, Speedboat, Trailer, Transport Vehicle, Truck",Normal,Box
5766-1,Log Cabin,/sets/5766-1/Log-Cabin,Model making,Creator,,2011.0,355.0,1.0,/inventories/5766-1,/minifigs/inset-5766-1,29.99,36.0,21.0,4.2,16.0,"Bbq, Boat, Brick Built Tree, Duck, Fireplace, Forest, Garden, House, Kayak, Lamppost, Multibuild, Rowing Boat",Normal,Box
