set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,tags,set_type,packaging,inventory_id,number_parts,total_parts,1st_color,2nd_color
75121-1,Imperial Death Trooper,/sets/75121-1/Imperial-Death-Trooper,Licensed,Star Wars,Buildable Figures,2016.0,106.0,0.0,/inventories/75121-1,,24.99,11.0,9.0,5.0,1.0,"Ccbs, Galactic Empire, Rogue One, Star Wars Anthology, Ultrabuild",Normal,Box,9727,51,105,Black,Dark Bluish Gray
75125-1,Resistance X-wing Fighter,/sets/75125-1/Resistance-X-wing-Fighter,Licensed,Star Wars,MicroFighters,2016.0,87.0,1.0,/inventories/75125-1,/minifigs/inset-75125-1,9.99,10.0,6.0,4.0,4.0,"Temmin 'Snap' Wexley, Microscale, Resistance, Sequel Trilogy, Starfighter, The Force Awakens",Normal,Box,5339,36,89,Light Bluish Gray,Dark Bluish Gray
75126-1,First Order Snowspeeder,/sets/75126-1/First-Order-Snowspeeder,Licensed,Star Wars,MicroFighters,2016.0,91.0,1.0,/inventories/75126-1,/minifigs/inset-75126-1,9.99,8.0,5.0,4.8,4.0,"First Order Snowtrooper, First Order, Microscale, Sequel Trilogy, Starkiller Base, The Force Awakens",Normal,Box,4578,60,99,Light Bluish Gray,Dark Bluish Gray
75127-1,The Ghost,/sets/75127-1/The-Ghost,Licensed,Star Wars,MicroFighters,2016.0,104.0,1.0,/inventories/75127-1,/minifigs/inset-75127-1,9.99,11.0,7.0,4.0,2.0,"Hera Syndulla, Microscale, Phoenix Squadron, Rebel Alliance, Spectres",Normal,Box,457,54,109,Black,White
75128-1,TIE Advanced Prototype,/sets/75128-1/TIE-Advanced-Prototype,Licensed,Star Wars,MicroFighters,2016.0,93.0,1.0,/inventories/75128-1,/minifigs/inset-75128-1,9.99,10.0,5.0,4.0,2.0,"TIE Fighter Pilot, Galactic Empire, Starfighter",Normal,Box,14581,40,95,Light Bluish Gray,Black
75129-1,Wookiee Gunship,/sets/75129-1/Wookiee-Gunship,Licensed,Star Wars,MicroFighters,2016.0,84.0,1.0,/inventories/75129-1,/minifigs/inset-75129-1,9.99,9.0,6.0,4.3,3.0,"Wookiee Warrior, Microscale",Normal,Box,8345,48,87,Tan,Light Bluish Gray
75130-1,AT-DP,/sets/75130-1/AT-DP,Licensed,Star Wars,MicroFighters,2016.0,76.0,1.0,/inventories/75130-1,/minifigs/inset-75130-1,9.99,11.0,11.0,3.5,2.0,"AT-DP Pilot, Galactic Empire, Walker",Normal,Box,15348,44,81,Light Bluish Gray,Dark Bluish Gray
75131-1,Resistance Trooper Battle Pack,/sets/75131-1/Resistance-Trooper-Battle-Pack,Licensed,Star Wars,The Force Awakens,2016.0,112.0,4.0,/inventories/75131-1,/minifigs/inset-75131-1,12.99,12.0,8.0,4.3,7.0,"Resistance Officer, Resistance Trooper, Battle Pack, Resistance, Sequel Trilogy",Normal,Box,831,61,119,Dark Bluish Gray,Black
75132-1,First Order Battle Pack,/sets/75132-1/First-Order-Battle-Pack,Licensed,Star Wars,The Force Awakens,2016.0,88.0,4.0,/inventories/75132-1,/minifigs/inset-75132-1,12.99,11.0,10.0,3.8,9.0,"First Order Crew Member, First Order Stormtrooper, Battle Pack, First Order, Sequel Trilogy",Normal,Box,3796,51,92,Black,Light Bluish Gray
75133-1,Rebel Alliance Battle Pack,/sets/75133-1/Rebel-Alliance-Battle-Pack,Licensed,Star Wars,Battlefront,2016.0,101.0,4.0,/inventories/75133-1,/minifigs/inset-75133-1,12.99,16.0,16.0,4.4,7.0,"Rebel Trooper, Battle Pack, Rebel Alliance, Video Game",Normal,Box,13027,52,100,Black,Reddish Brown
75134-1,Galactic Empire Battle Pack,/sets/75134-1/Galactic-Empire-Battle-Pack,Licensed,Star Wars,Battlefront,2016.0,109.0,4.0,/inventories/75134-1,/minifigs/inset-75134-1,12.99,18.0,12.0,4.4,9.0,"Imperial Officer, Imperial Shock Trooper, Stormtrooper, Battle Pack, Galactic Empire, Video Game",Normal,Box,7131,59,116,Black,Trans-Red
