set_no,name,price_store,price_used,popularity,group,year,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
4525-1,Road and Rail Repair,10.0,18.0,22.0,Modern day,1994.0,89,50,8,Yellow,Black
4544-1,Car Transport Wagon with Car,18.75,37.0,10.0,Modern day,1994.0,142,70,10,Red,Gray
4564-1,Freight Rail Runner,134.0,188.0,20.0,Modern day,1994.0,591,206,11,Black,Red
5591-1,Mach II Red Bird Rig,110.0,137.0,5.0,Model making,1994.0,1186,281,12,Gray,Black
6236-1,King Kahuka,4.0,9.0,35.0,Historical,1994.0,51,38,10,Gray,Red
6246-1,Crocodile Cage,7.25,14.0,50.599999999999994,Historical,1994.0,61,43,9,Black,Gray
6256-1,Islander Catamaran,12.0,21.0,46.0,Historical,1994.0,65,42,9,Red,Black
6262-1,King Kahuka's Throne,21.0,35.0,32.199999999999996,Historical,1994.0,155,89,13,Gray,Black
6264-1,Forbidden Cove,29.75,53.0,30.800000000000004,Historical,1994.0,223,110,11,Black,Gray
6278-1,Enchanted Island,66.0,132.0,84.60000000000001,Historical,1994.0,443,194,13,Black,Gray
6340-1,Hook & Ladder,20.0,15.0,18.0,Modern day,1994.0,177,93,9,Red,Black
6341-1,Gas N' Go Flyer,13.25,10.0,11.100000000000001,Modern day,1994.0,109,72,12,White,Red
6348-1,Surveillance Squad,33.0,25.0,36.8,Modern day,1994.0,323,153,12,White,Black
6350-1,Pizza To Go,15.0,25.0,90.0,Modern day,1994.0,152,78,12,White,Red
6402-1,Sidewalk Café,7.25,19.0,12.899999999999999,Modern day,1994.0,51,35,10,White,Red
6410-1,Cabana Beach,25.5,36.0,12.899999999999999,Modern day,1994.0,154,85,11,White,Red
6483-1,Coastal Patrol,48.0,20.0,12.0,Modern day,1994.0,264,145,14,White,Black
6514-1,Trail Ranger,3.25,3.0,24.0,Modern day,1994.0,36,23,9,Yellow,Black
6515-1,Stunt Copter,3.25,4.0,15.2,Modern day,1994.0,35,28,8,White,Black
6515-1,Stunt Copter,3.25,4.0,15.2,Modern day,1994.0,35,28,8,White,Black
6537-1,Hydro Racer,4.5,4.0,14.0,Modern day,1994.0,51,34,6,Black,Red
6538-1,Rebel Roadster,4.5,5.0,36.8,Modern day,1994.0,61,39,7,Black,Red
6543-1,Sail N' Fly Marina,85.0,105.0,19.2,Modern day,1994.0,711,301,14,Red,White
6561-1,Hot Rod Club,26.5,35.0,27.0,Modern day,1994.0,242,125,14,Black,White
6571-1,Flame Fighters,55.0,45.0,10.0,Modern day,1994.0,438,190,13,Red,White
6597-1,Century Skyway,109.0,151.0,68.60000000000001,Modern day,1994.0,908,324,15,White,Gray
6665-1,River Runners,7.25,7.0,22.0,Modern day,1994.0,77,46,10,Yellow,Gray
6666-1,Ambulance,9.25,12.0,18.0,Modern day,1994.0,78,49,9,White,Red
6705-1,Space Explorers,6.0,17.0,17.2,Action/Adventure,1994.0,39,32,11,Black,Yellow
6835-1,Saucer Scout,4.0,5.0,37.800000000000004,Action/Adventure,1994.0,49,25,7,Black,Red
6889-1,Recon Robot,12.0,17.0,38.4,Action/Adventure,1994.0,138,58,7,Black,Red
6939-1,Saucer Centurion,27.0,32.0,48.400000000000006,Action/Adventure,1994.0,222,79,8,Black,Red
6949-1,Robo-Guardian,36.0,41.0,30.0,Action/Adventure,1994.0,367,121,10,Black,Red
6959-1,Lunar Launch Site,36.0,58.0,31.2,Action/Adventure,1994.0,287,124,9,Black,Red
6991-1,Monorail Transport Base,178.0,367.0,49.5,Action/Adventure,1994.0,572,186,11,Black,Gray
1785-1,Crater Critters,10.0,12.0,6.8999999999999995,Action/Adventure,1995.0,146,66,5,Black,Gray
1787-1,Crater Cruiser,18.0,43.0,25.2,Action/Adventure,1995.0,183,93,7,Black,Gray
1788-1,Treasure Chest,22.0,69.0,10.0,Historical,1995.0,168,117,14,Gray,Black
1789-1,Star Hawk II,27.0,57.0,30.099999999999998,Action/Adventure,1995.0,292,109,8,Black,Blue
1822-1,Sea Claw 7,20.0,35.0,18.0,Action/Adventure,1995.0,194,102,10,Yellow,Black
4552-1,Cargo Crane,38.5,70.0,20.0,Modern day,1995.0,281,139,12,Black,Yellow
4555-1,Cargo Station,66.0,126.0,18.0,Modern day,1995.0,401,170,13,Yellow,Red
5541-1,Blue Fury,39.5,50.0,15.0,Model making,1995.0,431,149,8,Gray,Blue
6036-1,Skeleton Surprise,8.0,12.0,43.0,Historical,1995.0,74,47,10,Gray,Black
6044-1,King's Carriage,16.5,31.0,18.0,Historical,1995.0,131,75,13,Black,Blue
6078-1,Royal Drawbridge,30.0,62.0,22.200000000000003,Historical,1995.0,266,122,14,Black,Gray
6090-1,Royal Knight's Castle,95.0,198.0,122.2,Historical,1995.0,772,223,14,Gray,Black
6115-1,Shark Scout,3.5,3.0,37.0,Action/Adventure,1995.0,29,19,6,Black,Blue
6125-1,Sea Sprint 9,4.0,4.0,45.099999999999994,Action/Adventure,1995.0,32,23,7,Black,Yellow
6155-1,Deep Sea Predator,22.0,17.0,38.699999999999996,Action/Adventure,1995.0,104,63,9,Black,Blue
6175-1,Crystal Explorer Sub,33.0,25.0,50.599999999999994,Action/Adventure,1995.0,167,84,10,Yellow,Black
6195-1,Neptune Discovery Lab,89.0,101.0,98.0,Action/Adventure,1995.0,517,186,11,Black,Yellow
6254-1,Rocky Reef,15.0,29.0,30.099999999999998,Historical,1995.0,110,76,10,Gray,Yellow
6263-1,Imperial Outpost,27.5,61.0,41.4,Historical,1995.0,222,115,11,White,Black
6279-1,Skull Island,53.0,88.0,38.4,Historical,1995.0,392,167,14,Gray,Black
6336-1,Launch Response Unit,16.5,14.0,17.2,Modern day,1995.0,184,99,11,White,Black
6338-1,Hurricane Harbour,49.5,62.0,14.100000000000001,Modern day,1995.0,369,179,13,White,Gray
6339-1,Shuttle Launch Pad,66.0,99.0,70.0,Modern day,1995.0,571,216,15,Gray,White
6414-1,Dolphin Point,33.0,66.0,9.0,Modern day,1995.0,211,120,14,White,Gray
6484-1,F1 Hauler,49.5,58.0,10.0,Modern day,1995.0,287,147,12,White,Black
6516-1,Moon Walker,3.0,4.0,28.0,Modern day,1995.0,34,25,9,White,Black
6525-1,Blaze Commander,4.5,4.0,11.100000000000001,Modern day,1995.0,49,33,9,Black,Red
6535-1,Dumper,4.5,5.0,8.0,Modern day,1995.0,42,25,9,Yellow,Black
6544-1,Shuttle Transcon 2,38.5,59.0,28.799999999999997,Modern day,1995.0,351,172,13,White,Gray
6562-1,Gas Stop Shop,24.5,25.0,23.0,Modern day,1995.0,228,113,13,White,Red
6596-1,Wave Master,12.0,15.0,23.0,Modern day,1995.0,135,77,10,Black,White
6614-1,Launch Evac 1,9.25,8.0,34.4,Modern day,1995.0,122,66,10,White,Gray
6639-1,Raven Racer,7.25,5.0,11.100000000000001,Modern day,1995.0,70,48,6,Black,White
6649-1,Street Sweeper,6.75,9.0,19.2,Modern day,1995.0,68,47,12,Yellow,Gray
1728-1,Crystal Crawler,10.0,25.0,25.799999999999997,Action/Adventure,1996.0,97,41,9,Yellow,Black
1737-1,Scorpion Detector,20.0,20.0,15.0,Action/Adventure,1996.0,195,98,8,White,Black
1747-1,Treasure Surprise,2.0,6.0,24.0,Historical,1996.0,26,23,8,Gray,Yellow
1749-1,Paravane,2.0,3.0,16.0,Action/Adventure,1996.0,16,13,5,Yellow,Black
1808-1,Light Aircraft and Ground Support,10.0,23.0,3.0,Modern day,1996.0,121,77,12,White,Red
1817-1,Sea Plane with Hut and Boat,15.0,15.0,8.0,Modern day,1996.0,139,85,14,White,Red
1818-1,Aircraft and Ground Support Equipment and Vehicle.,24.0,88.0,5.0,Modern day,1996.0,204,99,12,White,Blue
1821-1,Rally Racers,11.0,22.0,5.0,Modern day,1996.0,195,90,10,Black,Gray
1854-1,House with Roof-Windows,23.0,51.0,8.0,Modern day,1996.0,158,68,11,White,Red
2150-1,Train Station,73.0,307.0,19.0,Modern day,1996.0,622,197,14,Red,Black
4002-1,Riptide Racer,13.0,14.0,23.0,Modern day,1996.0,58,40,11,Red,White
4012-1,Wave Cops,20.0,14.0,19.2,Modern day,1996.0,100,68,12,Black,White
4022-1,C26 Sea Cutter,30.0,29.0,20.0,Modern day,1996.0,193,96,11,White,Red
4532-1,Manual Level Crossing,24.0,44.0,19.0,Modern day,1996.0,138,61,9,Black,White
4559-1,Cargo Railway,130.0,150.0,41.4,Modern day,1996.0,851,193,15,Black,Yellow
4565-1,Freight and Crane Railway,140.0,170.0,34.300000000000004,Modern day,1996.0,915,183,10,Black,Gray
5571-1,Giant Truck,139.0,397.0,39.2,Model making,1996.0,1760,303,12,Gray,Black
6024-1,Bandit Ambush,6.5,29.0,47.3,Historical,1996.0,68,46,10,Brown,Gray
6046-1,Hemlock Stronghold,24.0,62.0,17.0,Historical,1996.0,229,125,13,Black,Gray
6079-1,Dark Forest Fortress,50.0,360.0,22.0,Historical,1996.0,476,194,12,Black,Gray
6104-1,Aquacessories,7.25,17.0,19.0,Action/Adventure,1996.0,27,21,9,Black,Gray
6135-1,Spy Shark,8.75,9.0,40.7,Action/Adventure,1996.0,62,38,8,Black,Blue
6145-1,Crystal Crawler,12.0,13.0,12.899999999999999,Action/Adventure,1996.0,96,40,9,Yellow,Black
6190-1,Shark's Crystal Cave,50.0,80.0,30.0,Action/Adventure,1996.0,259,121,10,Black,Blue
6232-1,Skeleton Crew,3.0,7.0,42.0,Historical,1996.0,34,27,10,Gray,White
6244-1,Armada Sentry,8.75,25.0,36.0,Historical,1996.0,74,47,11,White,Black
6248-1,Volcano Island,12.0,33.0,24.0,Historical,1996.0,124,68,12,Gray,White
6280-1,Armada Flagship,50.0,103.0,46.2,Historical,1996.0,299,154,12,Black,White
6289-1,Red Beard Runner,99.0,158.0,32.0,Historical,1996.0,715,230,11,Black,White
6296-1,Shipwreck Island,29.75,51.0,21.0,Historical,1996.0,227,134,12,Black,White
6318-1,"Flowers, Trees and Fences",4.5,10.0,8.0,Modern day,1996.0,74,22,7,Green,White
6331-1,Patriot Jet,16.5,17.0,4.0,Modern day,1996.0,169,104,11,Blue,White
6334-1,Wave Jump Racers,20.0,28.0,25.200000000000003,Modern day,1996.0,180,109,13,Black,White
6335-1,Indy Transport,30.0,39.0,44.1,Modern day,1996.0,403,159,14,White,Black
6337-1,Fast Track Finish,40.0,41.0,16.0,Modern day,1996.0,339,151,13,White,Red
6404-1,Carriage Ride,8.75,17.0,5.0,Modern day,1996.0,66,45,12,White,Black
6418-1,Country Club,42.0,88.0,,Modern day,1996.0,295,119,14,White,Gray
6491-1,Rocket Racer,4.5,4.0,17.0,Action/Adventure,1996.0,60,38,8,Gray,Black
6492-1,Hypno Cruiser,22.0,18.0,11.100000000000001,Action/Adventure,1996.0,157,91,15,Gray,Black
6493-1,Flying Time Vessel,44.0,31.0,15.2,Action/Adventure,1996.0,241,127,13,Gray,Black
6494-1,Magic Mountain Time Lab,64.0,39.0,21.0,Action/Adventure,1996.0,519,198,16,Gray,Black
6517-1,Water Jet,3.0,3.0,28.0,Modern day,1996.0,29,24,10,White,Red
6518-1,Baja Buggy,3.5,3.0,28.0,Modern day,1996.0,37,23,7,White,Black
6545-1,Search N' Rescue,26.5,16.0,10.0,Modern day,1996.0,291,140,12,White,Black
6546-1,Slick Racer,4.0,4.0,27.0,Modern day,1996.0,39,25,7,White,Black
6563-1,Gator Landing,27.5,28.0,22.0,Modern day,1996.0,241,133,16,Black,Red
